soft,,0.2*RIGID,,0.4*RIGID,,0.6*RIGID,,0.8*RIGID,,1*RIGID,
0,0,0,0,0,0.00466231,0,0,0,0.011258,0,0
0.469109,0.19413,2.72636,0.016963,2.0139,0.0249519,3.24329,3.8495,0.443717,6.41903,3.52961,3.83632
0.33569,0.196154,5.06659,0.0331662,1.33545,0.0203105,4.41382,5.02125,2.96553,8.8218,1.03047,4.36432
1.24324,0.259256,2.89284,0.109969,0.549357,0.141094,4.54534,4.71341,0.534478,9.0313,0.66686,4.32
0.61602,0.23952,1.85233,0.103244,0.24041,0.315438,3.36844,4.83908,0.796532,9.62457,3.43614,5.1325
1.60689,0.633353,1.04086,0.732993,-1.41021,0.175777,4.7366,6.32339,0.551351,11.8111,2.74622,6.06782
2.25061,0.985419,3.23349,2.53879,1.11057,0.111518,3.65732,6.20072,3.20021,13.1227,1.64767,7.04644
1.33029,0.575992,2.34593,2.48496,1.61919,0.188556,2.1309,2.24223,0.842526,8.34224,6.80479,7.18522
1.94947,0.664679,2.93041,2.07658,6.66711,10.6035,1.99319,2.87846,1.61119,13.8034,2.25003,7.96547
0.81886,1.09643,4.43798,1.60698,4.22566,0.279546,2.45211,3.35011,1.87982,13.0907,2.23979,8.59043
2.74217,1.24131,0.30112,3.33131,3.07555,0.26306,5.20304,8.34817,1.43567,14.3939,3.42369,8.82482
3.14944,1.21252,2.54095,3.74075,1.70972,4.07987,6.42235,4.5567,1.10097,12.1173,3.83384,8.99844
2.19751,1.35073,3.30724,4.17462,0.595797,1.02915,8.155019,9.60536,1.79332,16.7776,0.36712,5.39742
3.43338,1.69234,4.06337,3.45935,2.75432,5.40916,4.30556,9.08704,2.87753,13.2937,6.57385,6.1353
3.40238,1.47411,5.393217,3.3331,1.31122,2.41161,6.03647,6.35903,3.0328,13.9546,5.10596,6.84615
5.03555,2.08827,2.9301,4.03457,0.318218,2.84186,6.57024,6.87464,2.18073,17.6071,4.80007,7.48315
3.84701,2.11844,5.525289,4.02464,6.98667,14.5507,6.40975,7.35386,3.54383,18.2679,4.9166,8.19506
2.78513,1.99774,0.8854,4.38909,2.90501,7.29518,7.44358,11.5973,3.93171,16.4585,4.9939,8.98963
4.24447,2.20895,3.25186,2.15019,2.18243,4.2286,8.207692,11.5585,4.86161,17.0649,3.60719,13.0266
3.21647,2.35076,3.83145,5.49548,1.10541,10.5059,4.32602,9.15458,3.28014,20.2521,5.75579,10.2803
1.6907,2.27242,5.24809,2.81785,2.50423,5.19799,5.84847,14.0748,2.13102,18.27,7.50941,14.2193
4.61015,2.7688,3.86068,3.06747,3.35887,5.63947,7.983893,10.1705,3.81305,22.2598,7.2838,17.8497
3.15427,2.68177,6.072748,3.33694,1.61459,6.07422,6.56978,10.7575,1.86235,21.8577,5.05181,12.3435
4.45999,2.84939,6.620657,5.97914,2.74202,9.31393,7.62985,11.3443,3.95045,20.1401,5.0085,12.9753
3.2212,3.04704,6.820915,6.47154,3.23125,7.07305,6.25666,14.2665,3.93076,20.7861,5.76938,16.3933
6.4784,2.92291,6.780675,4.29492,3.35002,7.47902,9.264276,12.5194,4.76131,25.0171,5.77609,16.7801
4.82206,3.4698,4.91138,4.58567,3.34689,7.93814,6.02374,13.1266,4.41834,21.9949,8.571999,17.5066
5.10023,3.40559,7.037526,7.12594,4.58507,8.43273,8.581167,19.2421,3.23041,22.5701,6.20223,15.7158
6.01282,4.10608,4.71395,5.14675,0.627416,8.90551,8.197767,17.3083,4.92774,23.0934,5.40813,16.3686
5.53953,4.34058,5.99416,7.43596,4.26735,12.2438,8.315496,16.5763,5.72081,23.8206,4.95439,17.1698
